  File "get_data.py", line 25
    da={}
        ^
TabError: inconsistent use of tabs and spaces in indentation
第219组失败	当前进度219/1806	 成功: 102 	 失败: 116
第220组失败	当前进度220/1806	 成功: 102 	 失败: 117
第221组失败	当前进度221/1806	 成功: 102 	 失败: 118
第222组失败	当前进度222/1806	 成功: 102 	 失败: 119
第223组失败	当前进度223/1806	 成功: 102 	 失败: 120
第224组失败	当前进度224/1806	 成功: 102 	 失败: 121
第225组失败	当前进度225/1806	 成功: 102 	 失败: 122
第226组失败	当前进度226/1806	 成功: 102 	 失败: 123
第227组失败	当前进度227/1806	 成功: 102 	 失败: 124
第228组失败	当前进度228/1806	 成功: 102 	 失败: 125
第229组失败	当前进度229/1806	 成功: 102 	 失败: 126
第230组成功	当前进度230/1806	 成功: 102 	 失败: 127
第231组成功	当前进度231/1806	 成功: 103 	 失败: 127
第232组成功	当前进度232/1806	 成功: 104 	 失败: 127
第233组成功	当前进度233/1806	 成功: 105 	 失败: 127
第234组失败	当前进度234/1806	 成功: 106 	 失败: 127
第235组失败	当前进度235/1806	 成功: 106 	 失败: 128
第236组失败	当前进度236/1806	 成功: 106 	 失败: 129
第237组失败	当前进度237/1806	 成功: 106 	 失败: 130
第238组失败	当前进度238/1806	 成功: 106 	 失败: 131
第239组失败	当前进度239/1806	 成功: 106 	 失败: 132
第240组失败	当前进度240/1806	 成功: 106 	 失败: 133
第241组失败	当前进度241/1806	 成功: 106 	 失败: 134
第242组失败	当前进度242/1806	 成功: 106 	 失败: 135
第243组失败	当前进度243/1806	 成功: 106 	 失败: 136
第244组失败	当前进度244/1806	 成功: 106 	 失败: 137
第245组失败	当前进度245/1806	 成功: 106 	 失败: 138
第246组失败	当前进度246/1806	 成功: 106 	 失败: 139
第247组失败	当前进度247/1806	 成功: 106 	 失败: 140
第248组失败	当前进度248/1806	 成功: 106 	 失败: 141
第249组失败	当前进度249/1806	 成功: 106 	 失败: 142
第250组失败	当前进度250/1806	 成功: 106 	 失败: 143
第251组失败	当前进度251/1806	 成功: 106 	 失败: 144
第252组失败	当前进度252/1806	 成功: 106 	 失败: 145
第253组失败	当前进度253/1806	 成功: 106 	 失败: 146
第254组失败	当前进度254/1806	 成功: 106 	 失败: 147
第255组失败	当前进度255/1806	 成功: 106 	 失败: 148
第256组失败	当前进度256/1806	 成功: 106 	 失败: 149
第257组失败	当前进度257/1806	 成功: 106 	 失败: 150
第258组失败	当前进度258/1806	 成功: 106 	 失败: 151
第259组失败	当前进度259/1806	 成功: 106 	 失败: 152
第260组失败	当前进度260/1806	 成功: 106 	 失败: 153
第261组失败	当前进度261/1806	 成功: 106 	 失败: 154
第262组失败	当前进度262/1806	 成功: 106 	 失败: 155
第263组失败	当前进度263/1806	 成功: 106 	 失败: 156
第264组失败	当前进度264/1806	 成功: 106 	 失败: 157
第265组失败	当前进度265/1806	 成功: 106 	 失败: 158
第266组失败	当前进度266/1806	 成功: 106 	 失败: 159
第267组失败	当前进度267/1806	 成功: 106 	 失败: 160
第268组失败	当前进度268/1806	 成功: 106 	 失败: 161
第269组失败	当前进度269/1806	 成功: 106 	 失败: 162
第270组失败	当前进度270/1806	 成功: 106 	 失败: 163
第271组失败	当前进度271/1806	 成功: 106 	 失败: 164
第272组失败	当前进度272/1806	 成功: 106 	 失败: 165
第273组失败	当前进度273/1806	 成功: 106 	 失败: 166
第274组失败	当前进度274/1806	 成功: 106 	 失败: 167
第275组失败	当前进度275/1806	 成功: 106 	 失败: 168
第276组失败	当前进度276/1806	 成功: 106 	 失败: 169
第277组失败	当前进度277/1806	 成功: 106 	 失败: 170
第278组失败	当前进度278/1806	 成功: 106 	 失败: 171
第279组失败	当前进度279/1806	 成功: 106 	 失败: 172
第280组失败	当前进度280/1806	 成功: 106 	 失败: 173
第281组失败	当前进度281/1806	 成功: 106 	 失败: 174
第282组失败	当前进度282/1806	 成功: 106 	 失败: 175
第283组失败	当前进度283/1806	 成功: 106 	 失败: 176
第284组失败	当前进度284/1806	 成功: 106 	 失败: 177
第285组失败	当前进度285/1806	 成功: 106 	 失败: 178
第286组失败	当前进度286/1806	 成功: 106 	 失败: 179
第287组失败	当前进度287/1806	 成功: 106 	 失败: 180
第288组失败	当前进度288/1806	 成功: 106 	 失败: 181
第289组失败	当前进度289/1806	 成功: 106 	 失败: 182
第290组失败	当前进度290/1806	 成功: 106 	 失败: 183
第291组失败	当前进度291/1806	 成功: 106 	 失败: 184
第292组失败	当前进度292/1806	 成功: 106 	 失败: 185
第293组失败	当前进度293/1806	 成功: 106 	 失败: 186
第294组失败	当前进度294/1806	 成功: 106 	 失败: 187
第295组失败	当前进度295/1806	 成功: 106 	 失败: 188
第296组失败	当前进度296/1806	 成功: 106 	 失败: 189
第297组失败	当前进度297/1806	 成功: 106 	 失败: 190
第298组成功	当前进度298/1806	 成功: 106 	 失败: 191
第299组失败	当前进度299/1806	 成功: 107 	 失败: 191
第300组失败	当前进度300/1806	 成功: 107 	 失败: 192
第301组失败	当前进度301/1806	 成功: 107 	 失败: 193
第302组失败	当前进度302/1806	 成功: 107 	 失败: 194
第303组成功	当前进度303/1806	 成功: 107 	 失败: 195
第304组失败	当前进度304/1806	 成功: 108 	 失败: 195
第305组失败	当前进度305/1806	 成功: 108 	 失败: 196
第306组失败	当前进度306/1806	 成功: 108 	 失败: 197
第307组失败	当前进度307/1806	 成功: 108 	 失败: 198
第308组失败	当前进度308/1806	 成功: 108 	 失败: 199
第309组失败	当前进度309/1806	 成功: 108 	 失败: 200
第310组失败	当前进度310/1806	 成功: 108 	 失败: 201
第311组失败	当前进度311/1806	 成功: 108 	 失败: 202
第312组失败	当前进度312/1806	 成功: 108 	 失败: 203
第313组失败	当前进度313/1806	 成功: 108 	 失败: 204
第314组失败	当前进度314/1806	 成功: 108 	 失败: 205
第315组失败	当前进度315/1806	 成功: 108 	 失败: 206
第316组失败	当前进度316/1806	 成功: 108 	 失败: 207
第317组失败	当前进度317/1806	 成功: 108 	 失败: 208
第318组失败	当前进度318/1806	 成功: 108 	 失败: 209
第319组失败	当前进度319/1806	 成功: 108 	 失败: 210
第320组失败	当前进度320/1806	 成功: 108 	 失败: 211
第321组失败	当前进度321/1806	 成功: 108 	 失败: 212
第322组失败	当前进度322/1806	 成功: 108 	 失败: 213
第323组失败	当前进度323/1806	 成功: 108 	 失败: 214
第324组失败	当前进度324/1806	 成功: 108 	 失败: 215
第325组失败	当前进度325/1806	 成功: 108 	 失败: 216
第326组失败	当前进度326/1806	 成功: 108 	 失败: 217
第327组失败	当前进度327/1806	 成功: 108 	 失败: 218
第328组失败	当前进度328/1806	 成功: 108 	 失败: 219
第329组失败	当前进度329/1806	 成功: 108 	 失败: 220
第330组失败	当前进度330/1806	 成功: 108 	 失败: 221
第331组失败	当前进度331/1806	 成功: 108 	 失败: 222
第332组失败	当前进度332/1806	 成功: 108 	 失败: 223
第333组失败	当前进度333/1806	 成功: 108 	 失败: 224
第334组失败	当前进度334/1806	 成功: 108 	 失败: 225
第335组失败	当前进度335/1806	 成功: 108 	 失败: 226
第336组失败	当前进度336/1806	 成功: 108 	 失败: 227
第337组失败	当前进度337/1806	 成功: 108 	 失败: 228
第338组失败	当前进度338/1806	 成功: 108 	 失败: 229
第339组失败	当前进度339/1806	 成功: 108 	 失败: 230
第340组失败	当前进度340/1806	 成功: 108 	 失败: 231
第341组失败	当前进度341/1806	 成功: 108 	 失败: 232
第342组失败	当前进度342/1806	 成功: 108 	 失败: 233
第343组失败	当前进度343/1806	 成功: 108 	 失败: 234
第344组失败	当前进度344/1806	 成功: 108 	 失败: 235
第345组失败	当前进度345/1806	 成功: 108 	 失败: 236
第346组失败	当前进度346/1806	 成功: 108 	 失败: 237
第347组失败	当前进度347/1806	 成功: 108 	 失败: 238
第348组失败	当前进度348/1806	 成功: 108 	 失败: 239
第349组失败	当前进度349/1806	 成功: 108 	 失败: 240
第350组失败	当前进度350/1806	 成功: 108 	 失败: 241
第351组失败	当前进度351/1806	 成功: 108 	 失败: 242
第352组失败	当前进度352/1806	 成功: 108 	 失败: 243
第353组失败	当前进度353/1806	 成功: 108 	 失败: 244
第354组失败	当前进度354/1806	 成功: 108 	 失败: 245
第355组失败	当前进度355/1806	 成功: 108 	 失败: 246
第356组失败	当前进度356/1806	 成功: 108 	 失败: 247
第357组失败	当前进度357/1806	 成功: 108 	 失败: 248
第358组失败	当前进度358/1806	 成功: 108 	 失败: 249
第359组失败	当前进度359/1806	 成功: 108 	 失败: 250
第360组失败	当前进度360/1806	 成功: 108 	 失败: 251
第361组失败	当前进度361/1806	 成功: 108 	 失败: 252
第362组失败	当前进度362/1806	 成功: 108 	 失败: 253
第363组失败	当前进度363/1806	 成功: 108 	 失败: 254
第364组失败	当前进度364/1806	 成功: 108 	 失败: 255
第365组失败	当前进度365/1806	 成功: 108 	 失败: 256
第366组失败	当前进度366/1806	 成功: 108 	 失败: 257
第367组失败	当前进度367/1806	 成功: 108 	 失败: 258
第368组失败	当前进度368/1806	 成功: 108 	 失败: 259
第369组失败	当前进度369/1806	 成功: 108 	 失败: 260
第370组失败	当前进度370/1806	 成功: 108 	 失败: 261
第371组失败	当前进度371/1806	 成功: 108 	 失败: 262
第372组失败	当前进度372/1806	 成功: 108 	 失败: 263
第373组失败	当前进度373/1806	 成功: 108 	 失败: 264
第374组失败	当前进度374/1806	 成功: 108 	 失败: 265
第375组失败	当前进度375/1806	 成功: 108 	 失败: 266
第376组失败	当前进度376/1806	 成功: 108 	 失败: 267
第377组失败	当前进度377/1806	 成功: 108 	 失败: 268
第378组失败	当前进度378/1806	 成功: 108 	 失败: 269
第379组失败	当前进度379/1806	 成功: 108 	 失败: 270
第380组失败	当前进度380/1806	 成功: 108 	 失败: 271
第381组失败	当前进度381/1806	 成功: 108 	 失败: 272
第382组失败	当前进度382/1806	 成功: 108 	 失败: 273
第383组失败	当前进度383/1806	 成功: 108 	 失败: 274
第384组失败	当前进度384/1806	 成功: 108 	 失败: 275
第385组失败	当前进度385/1806	 成功: 108 	 失败: 276
第386组失败	当前进度386/1806	 成功: 108 	 失败: 277
第387组失败	当前进度387/1806	 成功: 108 	 失败: 278
第388组失败	当前进度388/1806	 成功: 108 	 失败: 279
第389组失败	当前进度389/1806	 成功: 108 	 失败: 280
